name,sostav,cal,prot,fat,carb
Уха Ростовская,"Картофель, сельдерей, томаты, лук, рыбный бульон (форель, минтай, белорыбица, треска), петрушка, укроп, филе трески, филе форели",95,4,"3,5",12
Уха ростовская,"Картофель, сельдерей, томаты, лук, рыбный бульон (форель, минтай, белорыбица, треска), петрушка, укроп, филе трески, филе форели",95,4,"3,5",12
Фасолевый с говядиной,"Фасоль красная, бульон говяжий, лук, морковь, сельдерей, говядина рваная",200,17,"8,5",15
Фасоль зеленая с грибами,"Фасоль стручковая, лук, шампиньоны",450,25,12,61
Филе Миньон,"Говядина (вырезка), соль, перец, сливочное масло, розмарин, тимьян",200,32,"6,5",4
Флэт Уайт,,,,,
Форель на пару,Филе форели на коже,560,15,56,"0,1"
Форель паровая,,560,15,56,"0,1"
Харчо с курицей,"Бульон куриный, рис, лук, томатная паста, чеснок, кинза, томаты свежие, аджика",140,10,5,15
Хрустящие баклажаны с фетой,"Баклажаны, помидоры, сыр фета, семена кунжута, крахмал, соус свит-чили",130,3,"4,5",18
Хрустящие баклажаны с Фетой,"Баклажаны, помидоры, сыр фета, семена кунжута, крахмал, соус свит-чили",130,3,"4,5",18
Цезарь с курицей,"Салат айсберг, пармезан, крутоны из чиабатты, грудка куриная (чеснок, соевый соус), помидоры черри, соус цезарь (чеснок, анчоусы, горчица, вустерский соус, оливковое масло, пармезан, майонез)",190,"9,5",15,5
Цитрусовый,,,,,
Чикен строганов,"Куриное филе, лук, сливки, сливочное масло, мука",220,16,15,6
Чикен-строганов,"Куриное филе, лук, сливки, сливочное масло, мука",220,16,15,6
Чимичанга с говядиной,"Рваная говядина, помидоры, маринованные огурцы, чеснок сушеный, оливковое масло, соус чипотле-майонез",420,24,27,21
Шаурма с курицей,"Маринованное куриное бедро (кориандр, зира), огурцы, помидоры, соус белый BBQ",720,39,40,50
Шашлык из курицы,"Куриное бедро, паста карри, паприка, мускатный орех",300,19,22,"7,5"
Шницель куриный,"Куриное филе, куриное бедро, сыр",540,17,50,5
Щи из квашеной капусты,"Капуста квашеная, говядина, лук, морковь, картофель, томатная паста",250,15,15,12
Щи из свежей капусты,"Лук, морковь, картофель, капуста белокочанная, бульон говяжий, говядина",200,8,12,14
Щи из свежей капусты с говядиной,"Лук, морковь, картофель, капуста белокочанная, бульон говяжий, говядина",200,8,12,14
Щи с квашеной капустой с говядиной,,,,,
Эрл Грей,,,,,
Эспрессо,,,,,
Яичница из 3-х яиц,С миксом салата и черри,390,22,24,22
