name,sostav,cal,prot,fat,carb
Морковь по-корейски,"Морковь, соевый соус, лимонный сок, сахар, кунжут, чеснок",210,"1,5",18,10
Морс ягодный,,,,,
Мохито классический,,,,,
Мохито клубничный,,,,,
Мясная лазанья,"Листы лазаньи, соус болоньез (морковь, чеснок, томаты, розмарин, говяжий фарш, лук), соус бешамель (молоко, мускатный орех, сливочное масло, мука), сыр моцарелла, пармезан",290,26,10,24
Облепиха-груша,,,,,
Овощи гриль,"Болгарский перец, цуккини, баклажан, шампиньоны",120,"3,5","7,5","8,5"
Овощи гриль с грибами,"Кабачок, баклажан, шампиньоны, перец болгарский",120,"3,5","7,5","8,5"
Овощи на тепане,"Морковь, цуккини, баклажан, болгарский перец, прованские травы, паприка, соевый соус",40,"1,5","0,5","7,5"
Овощной,"Огурец, помидор, редис, ароматное масло",110,1,"9,5","6,5"
Окрошка на квасе,"Куриное пастрами, картофель, яйцо, огурцы свежие, редис, зелёный лук, укроп, квас, сливочный хрен, горчица, сметана, соль",,,,
Оливье с говядиной,"Картофель, морковь, горошек, огурцы маринованные, яйцо, майонез, ростбиф",250,9,20,"7,5"
Оливье с курицей,"Картофель, морковь, горошек, огурцы маринованные, яйцо, майонез, курица",230,"9,5",17,11
Омлет,С миксом салата и черри,390,21,23,24
Отварной картофель,"Картофель, зелень, масло сливочное",160,3,"3,5",29
Панна-котта с фруктовым пюре,,210,"4,5",13,21
Панцанелла,"Помидоры, помидоры черри, сок лайма, масло оливковое, гренки, микс салата, базилик",95,2,"6,5","7,5"
Паста отварная,Макароны из твёрдых сортов пшеницы,157,5,1,30
Печень куриная в сметанном соусе,"Печень куриная, лук, молоко, сметана, бульон куриный",260,"7,5",24,2
Печенье песочное с корицей,,180,"2,5","7,5",26
Пина колада,,,,,
Плов с курицей,"Куриное бедро, рис, морковь, лук, куркума, зира, перец острый, чеснок, помидоры",380,24,17,33
Профитроли с кремом патисьер,,65,"1,5",4,"6,5"
Пряный булгур,"Булгур, куркума, кориандр, карри",190,"6,5","2,5",35
Пряный рис,"Рис басмати, карри, куркума, кориандр, оливковое масло",300,"4,5",7,54
Пуэр,,,,,
Рассольник,,230,13,12,20
Рассольник с курицей,"Куриное филе, куриный бульон, картофель, перловая крупа, лук, морковь, огурцы маринованные",230,13,12,20
Раф классический,,,,,
Раф фисташковый,,,,,
Раф халва,,,,,
Рис басмати,Отварной рис,300,"4,5",7,54
Рис на пару,Отварной рис,,,,
Рис отварной,Отварной рис,150,3,"0,3",32
Рис с овощами,"Рис басмати, баклажаны, цуккини, болгарский перец, куркума",220,4,2,46
Рыба в кляре,"Филе трески, кляр (мука, яйцо), сок лимона",360,25,18,23
Рыба в кляре с соусом тар-тар,"Филе трески, кляр (мука, яйцо), сок лимона",360,25,18,23
Рыба запеченная в соусе «Мисо»,"Треска, мисо паста, рисовый уксус, апельсиновый сок",220,25,10,7
Рыба под маринадом,"Минтай, лук, морковь, томатная паста, уксус винный, сахар",250,29,"9,5",11
Рыбные котлеты,"Треска, капуста белокочанная, хлеб, яйцо, мука, молоко, морковь, лук",210,12,11,17
Рыбные котлеты с соусом тар-тар,"Треска, капуста белокочанная, хлеб, яйцо, мука, молоко, морковь, лук",210,12,11,17
С говядиной,,220,10,18,5
С курицей и цуккини,"Пастрами куриное, микс салата, цуккини, помидоры черри, соус песто",210,11,17,"3,5"
С курицей и цуккини с соусом песто,,,,,
С огурцом и редисом,,120,1,"9,5",8
Саган Дайля Мята,,,,,
Салат андалузский,"Пастрами куриное, салат айсберг, помидоры, перец, чипсы из тортильи с паприкой, петрушка, укроп, соус андалузский (майонез, карри, соевый соус)",,,,
Салат Андалузский с курицей,"Пастрами куриное, салат айсберг, помидоры, перец, чипсы из тортильи с паприкой, петрушка, укроп, соус андалузский (майонез, карри, соевый соус)",200,10,16,5
Салат Весенний,"Огурец, яйцо, петрушка, редис, сметана, лук зелёный",120,"4,5",9,6
Салат весенний,"Огурец, яйцо, петрушка, редис, сметана, лук зелёный",120,"4,5",9,6
Салат греческий,"Помидоры, огурцы, перец, маслины, сыр фета, оливковое масло, орегано",150,2,13,"5,5"
Салат из квашеной капусты с ялтинским луком,"Лук красный, капуста квашеная, масло растительное, сахар",,,,
Салат из свеклы с сыром фета,"Свекла запеченная, сыр фета, масло растительное, крем бальзамический, руккола, кедровые орехи",200,"3,5",15,14
Салат катанезе,"Баклажаны, перец болгарский, цукини, маслины таджасские, оливки каламата, базилик, орехи кедровые, бальзамический крем, масло оливковое",330,"2,5",31,12
Салат коул-слоу,"Капуста белокочанная, морковь, майонез, сметана, чеснок, уксус винный, сахар",130,2,11,"6,5"
Салат крабовый,"Яйцо, огурец, крабовые палочки, майонез, кукуруза",230,8,20,"5,5"
Салат летний,"Капуста белокочанная, огурцы свежие, кукуруза, медово-лимонная заправка, укроп",190,10,15,"4,5"
Салат мимоза,"Картофель, морковь, яйцо, горбуша, лук, майонез",320,15,25,"8,5"
Салат овощной,"Огурец, помидор, редис, ароматное масло",110,1,"9,5","6,5"
Салат овощной с редисом,"Огурец, помидор, редис, ароматное масло",,,,
Салат с говядиной,"Ростбиф, перец болгарский, микс салата (руккола, айсберг, шпинат, романо), пармезан, соус тайский (соевый соус, горчица, лук, масло кунжутное, уксус винный)",220,10,18,5
Салат с говядиной и пармезаном,"Ростбиф, перец болгарский, микс салата (руккола, айсберг, шпинат, романо), пармезан, соус тайский (соевый соус, горчица, лук, масло кунжутное, уксус винный)",220,10,18,5
Салат с киноа и овощами,"Цукини, киноа, огурец, помидоры, мята, кинза, лайм, руккола, перец болгарский, оливковое масло",270,7,18,21
